Restaurant Name,Cuisine,Rating,Number of Ratings,Average Price,Number of Offers,Offer Name,Area,Pure Veg,Location
Pizza Hot,"Pizzas, Italian",4.0,,150,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,Yes,Bahadurgarh
Pizza Pie,"Pizzas, Beverages",4.2,,200,3,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, Free Burger
NO CODE REQUIREDABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,No,Bahadurgarh
Trozan Pizza,"Pizzas, American",4.2,,200,4,"DEFAULT
FLAT ₹125 OFF
USE SUPERSAVERABOVE ₹249, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹299",Dharampura,Yes,Bahadurgarh
Raabta,"Pizzas, Italian",4.1,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mahavir Park,Yes,Bahadurgarh
Converse Coffee Point,"Chinese, Pizzas",4.2,,150,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,Yes,Bahadurgarh
Brewsberry The Coffee Bar,"Beverages, Pizzas",4.2,,150,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,No,Bahadurgarh
Pizza Times,"Pizzas, Italian",3.9,,150,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,Yes,Bahadurgarh
Pizza & Coffee Point,"Pizzas, Beverages",3.9,,200,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Delhi Rohtak Road,No,Bahadurgarh
Gymkhana Club (A Unit Of Hotel Red Huts),"Indian, Pizzas",2.2,,300,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,Yes,Bahadurgarh
Ankit By Thapa'S Hut,"Chinese, Pizzas",3.5,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,Yes,Bahadurgarh
80'S House,"Chinese, Pizzas",3.8,,150,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,No,Bahadurgarh
Classic Pizza King,"Pizzas, Italian",4.0,,200,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dharampura,Yes,Bahadurgarh
Pizza Kha Lo,"Pizzas, Beverages",4.0,,300,2,"Free Cold Coffee
NO CODE REQUIREDABOVE ₹699, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bahraich Locality,Yes,Bahraich
Pizza Hub Express,"Pizzas, Beverages",3.8,,249,2,"Free Mushroom Soup
NO CODE REQUIREDABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Pizza King,"Pizzas, Italian-American",3.7,,249,3,"25% OFF UPTO ₹65
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Go 69 Pizza,"Pizzas, Italian",3.7,,300,2,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Pizza Corner,"Pizzas, Chinese",3.9,,197,2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Pizza Plaza,"Italian, Pizzas",3.8,,300,3,"DEFAULT
FLAT ₹125 OFF
USE SUPERSAVERABOVE ₹249, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Wow Pizza Cafe,"Pizzas, Fast Food",4.0,,249,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹129, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
MFD RESTAURANT,"Pizzas, Chinese",4.5,,10,2,"FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Hangout Restaurant And Pizza Corner,"Pizzas, Italian",4.2,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Brahmnipura,Yes,Bahraich
Delicious Food Hub,"Chinese, Pizzas",4.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aditya Tower ICICI Bank,Yes,Bahraich
Mr. Ab Cafe,"Chinese, Pizzas",4.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Saraswati Nagar,Yes,Bahraich
La Pino'Z Pizza,"Pizzas, Pastas",3.9,,300,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹400",Mansoor Ganj,No,Bahraich
Pizza Garam,"Pizzas, Chinese",3.6,,199,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 40% OFF
USE PARTYABOVE ₹1500, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹500, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Panchvaktra Foods,"Pizzas, Snacks",3.2,,150,5,"DEAL OF DAY
50% OFF UPTO ₹100
USE STEALDEALABOVE ₹149, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹550, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹350, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mansoor Ganj,Yes,Bahraich
Dwarika The Rooftop Restaurant,"Fast Food, Pizzas",3.4,,300,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,Yes,Balaghat
Vikram Restaurant,"North Indian, Pizzas",3.8,,150,5,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹249, 50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹349",Kali Putli Chowk,Yes,Balaghat
US Pizza,"Pizzas, Burgers",4.2,,350,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,Yes,Balaghat
Ice And Spice Corner,"Pizzas, Burgers",3.6,,200,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,Yes,Balaghat
Manoj Sandwich,"Pizzas, Snacks",4.3,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chitragupt Nagar,Yes,Balaghat
Chai Sutta Bar,"Fast Food, Pizzas",3.7,,150,2,"FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,Yes,Balaghat
Cafe By Miraj Cinemas,"Pizzas, Beverages",3.8,,300,2,"Free Cheese Chilly Grilled Sandwich (160 Gm)
NO CODE REQUIREDABOVE ₹500, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,Yes,Balaghat
Bollywood Paratha,"Pizzas, Beverages",3.5,,200,3,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,No,Balaghat
The Chocolate Story,"Fast Food, Pizzas",3.9,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balaghat,Yes,Balaghat
Trupti Cafe,"American, Pizzas",3.9,,200,3,"Free butterscoop
NO CODE REQUIREDABOVE ₹248, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Salepali,Yes,Balangir
Garden Bakery,"Bakery, Pizzas",4.2,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balangir Locality,No,Balangir
Domino'S Pizza,"Pizzas, Italian",4.5,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore Locality,No,Balasore
Pizza Stop,"Pizzas, Fast Food",3.3,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,Yes,Balasore
Ghost Burgers Co.,"American, Pizzas",4.1,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
The Big Pizza Story,"Pizzas, American",3.7,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
NY Pizza Cafe,"Pizzas, American",5.0,,200,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
Club Burger,Pizzas,2.2,,200,2,"DEFAULT
FLAT ₹125 OFF
USE SUPERSAVERABOVE ₹199, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
Balasore Pizza Lover'S,Pizzas,2.9,,200,3,"FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹249, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, DEFAULT
FLAT ₹125 OFF
USE SUPERSAVERABOVE ₹199",Balasore,No,Balasore
Cafe Sizzle,"Pizzas, Pastas",3.4,,200,5,"DEFAULT
FLAT ₹125 OFF
USE SUPERSAVERABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹299, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹550, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹350",Balasore Locality,No,Balasore
Pizza Shop,"Pizzas, Fast Food",4.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore Locality,No,Balasore
The Chinese Bowl,"Pizzas, American",4.2,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
The Punjab Rasoi,"Pizzas, American",3.8,,200,2,"25% OFF UPTO ₹65
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
Chai Sutta Bar,"Beverages, Pizzas",4.0,,200,3,"FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹249, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore Locality,No,Balasore
Pizza Break,"Pizzas, Fast Food",4.1,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
Wow Pizzza,"Pizzas, Fast Food",3.7,,200,2,"FLAT 40% OFF
USE SPECIALSON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore Locality,Yes,Balasore
Heavan Of Pizza,"Pizzas, Snacks",3.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
Navratna,"Pizzas, Fast Food",4.5,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balasore,No,Balasore
Pizza Hut,Pizzas,4.2,,350,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vijayanagar Colony,No,Ballari
Domino'S Pizza,"Pizzas, Italian",4.3,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bellary,No,Ballari
Revive Cafe,Pizzas,3.6,,200,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Cowl Bazaar,No,Ballari
Bff - Budget Friendly Food,"Pizzas, Burgers",4.0,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vijayanagar Colony,Yes,Ballari
Pizza Wala,"Pizzas, Fast Food",4.2,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Home,"Pizzas, Fast Food",4.0,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Slice,"Pizzas, Burgers",3.6,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza X'Press,"Pizzas, Fast Food",5.0,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza World,"Pizzas, Desserts",4.3,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Corner,"Pizzas, Fast Food",4.0,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Happy Restaurant,Pizzas,3.5,,148,2,"SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹500, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Tasty Pizza,"Pizzas, Fast Food",4.7,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Arts Of Spices,"Pizzas, Pastas",4.4,,300,2,"FLAT 15% OFF
USE SPECIALSON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Bombay Pizza Point,"Pizzas, Fast Food",4.2,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
American Pizza Center,"Pizzas, Burgers",5.0,,100,2,"FLAT 25% OFF
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Plus,Pizzas,3.8,,149,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Shop,"Pizzas, Burgers",3.6,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,No,Ballia
New Pizza Point -2,"Pizzas, Burgers",4.2,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
New Burger Point & Snacks,"Burgers, Pizzas",4.2,,300,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,Yes,Ballia
Pizza Pe,"Pizzas, Fast Food",4.6,,300,2,"DEFAULT
FLAT ₹125 OFF
USE SUPERSAVERABOVE ₹249, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Piparpati,No,Ballia
New Pizza Khalo,"Pizzas, Chinese",3.6,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Veer vinay chauraha,Yes,Balrampur
Pizza Khalo,"Pizzas, Desserts",4.3,,198,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Veer vinay chauraha,No,Balrampur
Tafri Cafe,Pizzas,2.2,,2,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Veer vinay chauraha,Yes,Balrampur
Pizorro,Pizzas,4.0,,200,2,"FLAT 40% OFF
NO CODE REQUIRED, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dakra,No,Balurghat
Pizza Love,"Pizzas, Pastas",3.9,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda,Yes,Banda
Pizza Hot & Family Restaurant,"Pizzas, Fast Food",4.3,,300,2,"Free Choco Lava
NO CODE REQUIREDABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500","Babulala, Chauraha",Yes,Banda
Hide Out Pizza,"Pizzas, Italian",4.1,,300,2,"Free veg burger
NO CODE REQUIREDABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kalu Kuan,Yes,Banda
Pizza Hot,"Pizzas, Fast Food",4.4,,300,2,"Free Choco Lava
NO CODE REQUIREDABOVE ₹379, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Baulal Chauraha,Yes,Banda
Pizza Corner,"Pizzas, Burgers",2.5,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda,Yes,Banda
Spicy Pizza Corner,"Italian, Pizzas",4.2,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda Locality,Yes,Banda
Pizza Dot,Pizzas,4.6,,500,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda,Yes,Banda
SS Bakers,"Bakery, Pizzas",3.8,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda Locality,No,Banda
Home Town Spicy Hot Pizza,Pizzas,3.0,,200,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda,Yes,Banda
Blue Heaven Pizza & Fast Food Family Restaurant,"Italian, Pizzas",3.4,,300,2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda Locality,Yes,Banda
Bachelor'S Adda Cafe,"Chinese, Pizzas",2.5,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Balurghat,Yes,Banda
Bharat Imperial,"North Indian, Pizzas",4.1,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Pili Koti,No,Banda
The Cafe 90,"Pizzas, Fast Food",3.0,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banda,Yes,Banda
Pizza Hut,Pizzas,3.9,,350,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore
Domino'S Pizza,"Pizzas, Italian",4.0,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore
Trattoria By Toscano,"Italian, Pizzas",4.3,,900,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹800, SAVE BIG
20% OFF UPTO ₹125
USE JUMBOABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore
La Pino'Z Pizza,"Pizzas, Pastas",4.2,,220,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹500, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹699, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore
LeanCrust Pizza- ThinCrust Experts,"Pizzas, Italian",4.2,,300,4,"60% OFF UPTO ₹120
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mysore Road,No,Bangalore
MOJO Pizza - 2X Toppings,"Pizzas, Italian",4.3,,250,3,"FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore
Food Adda,"Burgers, Pizzas",4.2,,500,3,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore
Oven Story Pizza - Standout Toppings,"Pizzas, Pastas",4.3,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹399, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore
Firangi Bake,"Pizzas, Pastas",4.4,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shantinagar,No,Bangalore
Toscano,"Italian, Pizzas",4.4,,500,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1100, SAVE BIG
20% OFF UPTO ₹125
USE JUMBOABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore
The Pizza Bakery,"Pizzas, Pastas",4.5,,700,4,"40% OFF UPTO ₹100
USE GUILTFREEON SELECT ITEMS, 30% OFF UPTO ₹75
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore
Brik Oven - Original Sourdough Pizzas,"Italian, Pizzas",4.3,,700,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹899, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",High Grounds,No,Bangalore
Olio - The Wood Fired Pizzeria,"Pizzas, Pastas",4.2,,300,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Cunningham Road,No,Bangalore
Ciro'S Pizzeria,"Pizzas, Pastas",4.3,,600,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹399, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹900, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Bangalore,No,Bangalore
Pasta Street,"Italian, Pizzas",4.5,,900,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹799, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹799",Cunningham Road,No,Bangalore
Pizza 99,Pizzas,2.8,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basaveshwar Nagar,No,Bangalore
Nomad Pizza- Traveller Series,"Pizzas, Fast Food",4.3,,850,5,"50% OFF UPTO ₹100
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹2499, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹799, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹999",JOHN'S ROAD,No,Bangalore
Xero Degrees,"Pizzas, Beverages",4.2,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",04th block,No,Bangalore
Pizza House,Pizzas,3.5,,400,2,"FLAT DEAL
FLAT ₹40 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shivaji Nagar,No,Bangalore
Chetty'S Corner,"Chaat, Pizzas",4.2,,150,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Seshadripuram,Yes,Bangalore
ENSO - Sourdough Pizza By Nomad,"Pizzas, Fast Food",4.2,,500,4,"50% OFF UPTO ₹100
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1499, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹799, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Commercial Street,No,Bangalore
Crusto'S - Cheese Burst Pizza,"Pizzas, Pastas",4.4,,300,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Cunningham Road,No,Bangalore
Friendly Neighbourhood Pizza-Man,Pizzas,4.6,,260,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore
The Living Room,"Fast Food, Pizzas",3.7,,400,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹749, SAVE BIG
25% OFF UPTO ₹125
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore
Maverick & Farmer Coffee,"American, Pizzas",4.5,,800,2,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1100, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ulsoor,No,Bangalore
Cafe Mondo,"Pizzas, Italian",4.4,,500,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore
Via Milano,"Italian, Pizzas",4.2,,800,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore
